Process Name,Count
System Idle Process,1
System,1
Registry,1
smss.exe,1
csrss.exe,2
wininit.exe,1
services.exe,1
svchost.exe,95
lsass.exe,1
SystemSettings.exe,1
fontdrvhost.exe,2
SenseCE.exe,1
Teams.exe,9
CcmExec.exe,1
GoogleCrashHandler64.exe,1
GoogleCrashHandler.exe,1
WmiPrvSE.exe,7
uhssvc.exe,1
amdfendrsr.exe,1
NisSrv.exe,1
Microsoft.Management.Services.IntuneWindowsAgent.exe,1
msedge.exe,12
atiesrxx.exe,1
MemCompression,1
RadeonSoftware.exe,1
conhost.exe,7
wlanext.exe,1
Slack.exe,7
spoolsv.exe,1
mongod.exe,1
SMSvcHost.exe,2
mysqld.exe,2
RtkAudUService64.exe,2
MsSense.exe,1
SenseTVM.exe,1
MsMpEng.exe,1
SearchIndexer.exe,1
agentmonitor.exe,1
CmRcService.exe,1
aeagent.exe,1
ZSAService.exe,1
ACCSvc.exe,1
keyacc32.exe,1
SgrmBroker.exe,1
dllhost.exe,3
dwm.exe,1
RuntimeBroker.exe,7
SecurityHealthService.exe,1
powershell.exe,2
Code.exe,11
ZSATunnel.exe,1
winlogon.exe,1
LockApp.exe,1
StartMenuExperienceHost.exe,1
SCNotification.exe,1
explorer.exe,1
QASvc.exe,1
sihost.exe,1
pacjsworker.exe,1
BudsManager.exe,1
kass.exe,1
CalculatorApp.exe,1
QAAdminAgent.exe,1
CodeSetup-stable-31c37ee8f63491495ac49e43b8544550fbae4533.tmp,1
ApplicationFrameHost.exe,1
unsecapp.exe,1
dasHost.exe,1
python.exe,1
Microsoft.SharePoint.exe,1
AMDRSServ.exe,1
ZSATrayManager.exe,1
WUDFHost.exe,1
SecurityHealthSystray.exe,1
TrustedInstaller.exe,1
TiWorker.exe,1
pwahelper.exe,2
ACCStd.exe,1
UserOOBEBroker.exe,1
taskhostw.exe,2
TextInputHost.exe,1
QuickControls.exe,1
PhoneExperienceHost.exe,1
QAAgent.exe,1
fodhelper.exe,1
ZSAUpm.exe,1
CodeSetup-stable-31c37ee8f63491495ac49e43b8544550fbae4533.exe,1
ePowerButton_NB.exe,1
OneDrive.exe,1
atieclxx.exe,1
SenseNdr.exe,1
ctfmon.exe,1
ZSATray.exe,1
SearchApp.exe,1
